Date,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
11/8,105.19,230.72,260.92,203.1,198.5,,,,,,
11/9,112.57,236.02,250.96,206.83,198.5,,,,,,
11/10,115.91,227.72,252.88,208.7,198.5,,,,,,
11/11,114.09,229.28,258.21,208.7,190.2,,,,,,
11/12,112.71,229.14,258.21,208.7,190.43,,,,,,
11/13,109.54,229.14,258.21,212.59,192.26,,,,,,
11/14,109.54,229.14,244.1,208.53,193.77,,,,,,
11/15,109.54,229.38,240.36,206.93,190.18,,,,,,
11/16,111.68,230.72,236.55,194.86,190.18,,,,,,
11/17,112.82,223.78,227.97,202.7,190.18,,,,,,
11/18,114.01,225.18,221.33,202.7,195.58,,,,,,
11/19,112.71,217.84,221.33,202.7,195.25,,,,,,
11/20,114.53,217.84,221.33,208.6,194.37,,,,,,
11/21,114.53,217.84,223.46,209.55,196.42,,,,,,
11/22,114.53,223.02,230.38,212.33,197.99,,,,,,
11/23,117.46,231.72,218.05,212.33,197.99,,,,,,
11/24,122.35,229.59,218.05,212.33,197.99,,,,,,
11/25,124.35,229.59,218.05,212.33,193.12,,,,,,
11/26,124.35,229.59,218.05,212.33,192.35,,,,,,
11/27,124.35,229.59,218.05,208.04,191.09,,,,,,
11/28,124.35,229.59,209.48,211.01,191.09,,,,,,
11/29,124.35,205.55,216.28,215.23,191.09,,,,,,
11/30,121.11,196.01,224.97,206.58,191.09,,,,,,
12/1,119.39,196.11,218.45,198.11,191.09,,,,,,
12/2,121.24,198.02,212.29,198.11,187.72,,,,,,
12/3,123.52,196.29,212.29,198.11,192.74,,,,,,
12/4,123.85,196.29,212.29,198.92,189.16,,,,,,
12/5,123.85,196.29,207.44,196.53,186.75,,,,,,
12/6,123.85,205.83,205.16,188.52,185.12,,,,,,
12/7,122.08,211.25,201.97,184.12,185.12,,,,,,
12/8,122.09,214.45,197.41,190.98,185.12,,,,,,
12/9,124.59,211.84,195.86,190.98,193.75,,,,,,
12/10,128.36,211.72,195.86,190.98,193.43,,,,,,
12/11,128.42,211.72,195.86,187.31,194.58,,,,,,
12/12,128.42,211.72,198.85,179.97,195.6,,,,,,
12/13,128.42,208.9,208.34,187.14,196.93,,,,,,
12/14,129.06,207.83,215.44,196.88,196.93,,,,,,
12/15,129.78,210.25,203.43,203.95,196.93,,,,,,
12/16,132.39,214.28,200.23,203.95,195.32,,,,,,
12/17,135.96,208.67,200.23,203.95,191.14,,,,,,
12/18,136.56,208.67,200.23,208.65,192.58,,,,,,
12/19,136.56,208.67,208.51,214.08,192.19,,,,,,
12/20,136.56,206,217.53,214.21,193.78,,,,,,
12/21,132.88,212.72,218.58,210.91,193.78,,,,,,
12/22,131.3,215.05,218.38,207.4,193.78,,,,,,
12/23,135.12,219.93,237.65,207.4,195.41,,,,,,
12/24,134.72,219.93,237.65,207.4,201.66,,,,,,
12/25,134.72,219.93,237.65,207.4,201.66,,,,,,
12/26,134.72,219.93,237.65,210.74,199.72,,,,,,
12/27,134.72,222.04,238.08,212.69,200.11,,,,,,
12/28,133.42,223.35,239.96,204.72,200.11,,,,,,
12/29,135.33,225.26,240.42,205.38,200.11,,,,,,
12/30,138.38,228.64,254.63,205.38,202.02,,,,,,
12/31,138.51,228.64,254.63,205.38,201.92,,,,,,
